Run  0:  {'AVG_LATENCY': 0.0046023272693097115, 'AVG_INTRA_LATENCY': 0.0003792839505243229, 'CPU': 0.5203737745098039, 'MEM': 0.5203737745098039, 'CLOUD_REQS': 0, 'COST': 2.7009852654923603, 'TIME': 2.31513022756488, 'START_TIME': 1.0, 'END_TIME': 3.31513022756488}
Run  1:  {'AVG_LATENCY': 0.004001474797549486, 'AVG_INTRA_LATENCY': 0.0003673563572769873, 'CPU': 0.534875408496732, 'MEM': 0.534875408496732, 'CLOUD_REQS': 0, 'COST': 2.693119560695215, 'TIME': 2.308388194881613, 'START_TIME': 1.0, 'END_TIME': 3.308388194881613}
Run  2:  {'AVG_LATENCY': 0.0044291493465146645, 'AVG_INTRA_LATENCY': 0.0004026241334343154, 'CPU': 0.5163909313725491, 'MEM': 0.5163909313725491, 'CLOUD_REQS': 0, 'COST': 2.7052875789343624, 'TIME': 2.3188179248008822, 'START_TIME': 1.0, 'END_TIME': 3.3188179248008822}
Run  3:  {'AVG_LATENCY': 0.0037739396891120114, 'AVG_INTRA_LATENCY': 0.000348793449648638, 'CPU': 0.47048611111111094, 'MEM': 0.47048611111111094, 'CLOUD_REQS': 0, 'COST': 2.704374392408025, 'TIME': 2.3180351934925927, 'START_TIME': 1.0, 'END_TIME': 3.3180351934925927}
Run  4:  {'AVG_LATENCY': 0.003536565052959207, 'AVG_INTRA_LATENCY': 0.00043214484488184865, 'CPU': 0.5306372549019609, 'MEM': 0.5306372549019609, 'CLOUD_REQS': 0, 'COST': 2.707798078909135, 'TIME': 2.320969781922116, 'START_TIME': 1.0, 'END_TIME': 3.320969781922116}
Run  5:  {'AVG_LATENCY': 0.0035740924764802403, 'AVG_INTRA_LATENCY': 0.00028968467804504596, 'CPU': 0.47921772875816987, 'MEM': 0.47921772875816987, 'CLOUD_REQS': 0, 'COST': 2.689870697929691, 'TIME': 2.3056034553683062, 'START_TIME': 1.0, 'END_TIME': 3.3056034553683062}
Run  6:  {'AVG_LATENCY': 0.003037953564686748, 'AVG_INTRA_LATENCY': 0.0004408757893382832, 'CPU': 0.5310968137254901, 'MEM': 0.5310968137254901, 'CLOUD_REQS': 0, 'COST': 2.7078657667264863, 'TIME': 2.321027800051274, 'START_TIME': 1.0, 'END_TIME': 3.321027800051274}
Run  7:  {'AVG_LATENCY': 0.0034056176781706144, 'AVG_INTRA_LATENCY': 0.00037199176957257565, 'CPU': 0.4988255718954249, 'MEM': 0.4988255718954249, 'CLOUD_REQS': 0, 'COST': 2.6968696568079014, 'TIME': 2.3116025629782015, 'START_TIME': 1.0, 'END_TIME': 3.3116025629782015}
Run  8:  {'AVG_LATENCY': 0.003177261661977548, 'AVG_INTRA_LATENCY': 0.0002763379156771856, 'CPU': 0.42330473856209144, 'MEM': 0.42330473856209144, 'CLOUD_REQS': 0, 'COST': 2.6985945073994326, 'TIME': 2.3130810063423706, 'START_TIME': 1.0, 'END_TIME': 3.3130810063423706}
Run  9:  {'AVG_LATENCY': 0.004269158834606474, 'AVG_INTRA_LATENCY': 0.00038563241687484704, 'CPU': 0.47896241830065356, 'MEM': 0.47896241830065356, 'CLOUD_REQS': 0, 'COST': 2.7043981657597618, 'TIME': 2.3180555706512243, 'START_TIME': 1.0, 'END_TIME': 3.3180555706512243}
Run  10:  {'AVG_LATENCY': 0.004033892003556755, 'AVG_INTRA_LATENCY': 0.000392110215199578, 'CPU': 0.5091911764705882, 'MEM': 0.5091911764705882, 'CLOUD_REQS': 0, 'COST': 2.7034074257238614, 'TIME': 2.317206364906167, 'START_TIME': 1.0, 'END_TIME': 3.317206364906167}
Run  11:  {'AVG_LATENCY': 0.0036586343147596554, 'AVG_INTRA_LATENCY': 0.0003813758888996164, 'CPU': 0.4621119281045752, 'MEM': 0.4621119281045752, 'CLOUD_REQS': 0, 'COST': 2.703796998360946, 'TIME': 2.3175402843093824, 'START_TIME': 1.0, 'END_TIME': 3.3175402843093824}
Run  12:  {'AVG_LATENCY': 0.003932784528438524, 'AVG_INTRA_LATENCY': 0.00037107652814703237, 'CPU': 0.5333946078431372, 'MEM': 0.5333946078431372, 'CLOUD_REQS': 0, 'COST': 2.7034701977350113, 'TIME': 2.317260169487153, 'START_TIME': 1.0, 'END_TIME': 3.317260169487153}
Run  13:  {'AVG_LATENCY': 0.0043252596978028204, 'AVG_INTRA_LATENCY': 0.0004400032684732553, 'CPU': 0.532169117647059, 'MEM': 0.532169117647059, 'CLOUD_REQS': 0, 'COST': 2.703423972359273, 'TIME': 2.3172205477365195, 'START_TIME': 1.0, 'END_TIME': 3.3172205477365195}
Run  14:  {'AVG_LATENCY': 0.003314914974427917, 'AVG_INTRA_LATENCY': 0.000329172962954279, 'CPU': 0.4990942028985506, 'MEM': 0.4990942028985506, 'CLOUD_REQS': 0, 'COST': 2.674064853966803, 'TIME': 2.2920555891144025, 'START_TIME': 1.0, 'END_TIME': 3.2920555891144025}
Run  15:  {'AVG_LATENCY': 0.004160134183091033, 'AVG_INTRA_LATENCY': 0.0003679576799408037, 'CPU': 0.5005616830065359, 'MEM': 0.5005616830065359, 'CLOUD_REQS': 0, 'COST': 2.6947781043191266, 'TIME': 2.3098098037021084, 'START_TIME': 1.0, 'END_TIME': 3.3098098037021084}
Run  16:  {'AVG_LATENCY': 0.0036669998550559247, 'AVG_INTRA_LATENCY': 0.00039661561650397716, 'CPU': 0.5357434640522877, 'MEM': 0.5357434640522877, 'CLOUD_REQS': 0, 'COST': 2.701918971772796, 'TIME': 2.315930547233825, 'START_TIME': 1.0, 'END_TIME': 3.315930547233825}
Run  17:  {'AVG_LATENCY': 0.0035331685050321525, 'AVG_INTRA_LATENCY': 0.00037312108479574824, 'CPU': 0.5103145424836601, 'MEM': 0.5103145424836601, 'CLOUD_REQS': 0, 'COST': 2.7040579013816077, 'TIME': 2.3177639154699494, 'START_TIME': 1.0, 'END_TIME': 3.3177639154699494}
Run  18:  {'AVG_LATENCY': 0.003294848611089873, 'AVG_INTRA_LATENCY': 0.0003069929353353834, 'CPU': 0.46252042483660133, 'MEM': 0.46252042483660133, 'CLOUD_REQS': 0, 'COST': 2.7025887811475005, 'TIME': 2.3165046695550005, 'START_TIME': 1.0, 'END_TIME': 3.3165046695550005}
Run  19:  {'AVG_LATENCY': 0.0037525596489095974, 'AVG_INTRA_LATENCY': 0.00039909451498170654, 'CPU': 0.5355902777777777, 'MEM': 0.5355902777777777, 'CLOUD_REQS': 0, 'COST': 2.703660861826954, 'TIME': 2.317423595851675, 'START_TIME': 1.0, 'END_TIME': 3.317423595851675}
Run  20:  {'AVG_LATENCY': 0.0034771205151656994, 'AVG_INTRA_LATENCY': 0.00040317021906257744, 'CPU': 0.5298713235294118, 'MEM': 0.5298713235294118, 'CLOUD_REQS': 0, 'COST': 2.6943953637641056, 'TIME': 2.3094817403692334, 'START_TIME': 1.0, 'END_TIME': 3.3094817403692334}
Run  21:  {'AVG_LATENCY': 0.0034571496164286586, 'AVG_INTRA_LATENCY': 0.000430932472294555, 'CPU': 0.51547181372549, 'MEM': 0.51547181372549, 'CLOUD_REQS': 0, 'COST': 2.702779060985889, 'TIME': 2.316667766559333, 'START_TIME': 1.0, 'END_TIME': 3.316667766559333}
Run  22:  {'AVG_LATENCY': 0.0034005238481914003, 'AVG_INTRA_LATENCY': 0.0003341195221456233, 'CPU': 0.5225183823529411, 'MEM': 0.5225183823529411, 'CLOUD_REQS': 0, 'COST': 2.6903504319357845, 'TIME': 2.306014655944958, 'START_TIME': 1.0, 'END_TIME': 3.306014655944958}
Run  23:  {'AVG_LATENCY': 0.003835950360900097, 'AVG_INTRA_LATENCY': 0.00034499402694920453, 'CPU': 0.4788092320261438, 'MEM': 0.4788092320261438, 'CLOUD_REQS': 0, 'COST': 2.692092160491646, 'TIME': 2.3075075661356963, 'START_TIME': 1.0, 'END_TIME': 3.3075075661356963}
Run  24:  {'AVG_LATENCY': 0.00328408555011088, 'AVG_INTRA_LATENCY': 0.00044974570692795073, 'CPU': 0.5166462418300654, 'MEM': 0.5166462418300654, 'CLOUD_REQS': 0, 'COST': 2.70557518769795, 'TIME': 2.319064446598243, 'START_TIME': 1.0, 'END_TIME': 3.319064446598243}
Run  25:  {'AVG_LATENCY': 0.0038497425392928107, 'AVG_INTRA_LATENCY': 0.0003677666400931233, 'CPU': 0.48161764705882354, 'MEM': 0.48161764705882354, 'CLOUD_REQS': 0, 'COST': 2.7034630528370815, 'TIME': 2.317254045288927, 'START_TIME': 1.0, 'END_TIME': 3.317254045288927}
Run  26:  {'AVG_LATENCY': 0.003416208813393488, 'AVG_INTRA_LATENCY': 0.00038584081496977654, 'CPU': 0.5302287581699346, 'MEM': 0.5302287581699346, 'CLOUD_REQS': 0, 'COST': 2.6909824132510263, 'TIME': 2.3065563542151652, 'START_TIME': 1.0, 'END_TIME': 3.3065563542151652}
Run  27:  {'AVG_LATENCY': 0.002974394770985265, 'AVG_INTRA_LATENCY': 0.0003331591449812306, 'CPU': 0.4462826797385621, 'MEM': 0.4462826797385621, 'CLOUD_REQS': 0, 'COST': 2.6980742348917865, 'TIME': 2.312635058478674, 'START_TIME': 1.0, 'END_TIME': 3.312635058478674}
Run  28:  {'AVG_LATENCY': 0.0036459028355035152, 'AVG_INTRA_LATENCY': 0.0004056914600123838, 'CPU': 0.5301266339869282, 'MEM': 0.5301266339869282, 'CLOUD_REQS': 0, 'COST': 2.703471483843418, 'TIME': 2.317261271865787, 'START_TIME': 1.0, 'END_TIME': 3.317261271865787}
Run  29:  {'AVG_LATENCY': 0.0033673380852105215, 'AVG_INTRA_LATENCY': 0.0003216154480407568, 'CPU': 0.4621629901960784, 'MEM': 0.4621629901960784, 'CLOUD_REQS': 0, 'COST': 2.700248007682932, 'TIME': 2.314498292299656, 'START_TIME': 1.0, 'END_TIME': 3.314498292299656}
Run  30:  {'AVG_LATENCY': 0.004426997122421925, 'AVG_INTRA_LATENCY': 0.00034466136360969564, 'CPU': 0.5117442810457516, 'MEM': 0.5117442810457516, 'CLOUD_REQS': 0, 'COST': 2.691592252159906, 'TIME': 2.3070790732799193, 'START_TIME': 1.0, 'END_TIME': 3.3070790732799193}
Run  31:  {'AVG_LATENCY': 0.0038636829286466615, 'AVG_INTRA_LATENCY': 0.00037825720911759467, 'CPU': 0.5089869281045751, 'MEM': 0.5089869281045751, 'CLOUD_REQS': 0, 'COST': 2.6931420220332494, 'TIME': 2.308407447457071, 'START_TIME': 1.0, 'END_TIME': 3.308407447457071}
Run  32:  {'AVG_LATENCY': 0.004119372895366679, 'AVG_INTRA_LATENCY': 0.0003763455523097259, 'CPU': 0.5356924019607843, 'MEM': 0.5356924019607843, 'CLOUD_REQS': 0, 'COST': 2.701738070467617, 'TIME': 2.3157754889722426, 'START_TIME': 1.0, 'END_TIME': 3.3157754889722426}
Run  33:  {'AVG_LATENCY': 0.0038223540566451344, 'AVG_INTRA_LATENCY': 0.00039707676035325156, 'CPU': 0.5273182189542484, 'MEM': 0.5273182189542484, 'CLOUD_REQS': 0, 'COST': 2.7049895599164224, 'TIME': 2.3185624799283624, 'START_TIME': 1.0, 'END_TIME': 3.3185624799283624}
